Perceived Culture,Name,Orthography,Transcription
Asia,Yusuf,y/u/s/u/f,'j/ʏ/s/ə/f
Asia,Sadaf,s/a/d/a/f,s/a/d/a/f
Asia,Yusuf,y/u/s/u/f,'j/u/s/ə/f
Middle East,Soto,s/o/t/o,s/əʊ/tʰ/əʊ
Southern Europe,Adal,a/d/a/l,ə/'d/ɑ/ɬ
Southern Europe,Sadaf,s/a/d/a/f,s/a/d/a/f
Asia,Singh,s/i/ng/h,s/i/ŋ/
Middle East,Rana,r/a/n/a,ɹw/ɑ/n/ɑ
Asia,Sadaf,s/a/d/a/f,s/ɑ/d/ɑ/f
Southern Europe,Adal,a/d/a/l,ə/'d/ɑ/ɬ
Middle East,Naomi,n/a//o/m/i,n/a/j/ɔ/m/i
Middle East,Akie,a/k/ie,a/k/i
Asia,Saidi,s/a/i/d/i,'s/a/j/ɾ/i
Asia,Naomi,n/a//o/m/i,n/ɛ/j/ɞ/m/ɪ
Asia,Akie,a/k/i/e,e/k/i/
Middle East,Xinyi,x/i/n/yi,ɕ/ĩ/n/i
Central and Eastern Europe,Sultan,s/u/l/t/a/n,s//ɬ̩/tʰ/æ/n
Southern Europe,Zebu,z/e/b/u,z/i/b/u
Asia,Akie,a/k/ie,a/k/i
Middle East,Rana,r/a/n/a,ɹw/ɑ/n/a
Asia,Yuesefu,y/u/e/s/e/f/u,j/u//s/ɛ/f/u
Southern Europe,Lopez,l/o/p/e/z,l/əʊ/pʰ/ɛ/z
Middle East,Naomi,n/a//o/m/i,n/e/j'/ɔ/m/i
Middle East,Sadaf,s/a/d/a/f,s/a/d/ɐ/f
Southern Europe,Aoyama,a/o/y/a/m/a,a//'j/a/m/a
Central and Eastern Europe,Soto,s/o/t/o,s/əʊ/tʰ/əʊ
Middle East,Lope,l/o/p/e,l/əʊ/pʰ/ɛ
Central and Eastern Europe,Anika,a/n/i/k/a,ə/n/i/k/ə
Middle East,Singh,s/i/ng/h,s/i/ŋk/
Central and Eastern Europe,Lope,l/o/p/e,l/ɒ/'p/ɛ
Asia,Jose,j/o/s/e,dʒ/əʊ/z/i
Central and Eastern Europe,Anika,a/n/i/k/a,æ/n/ɪ/k/ə
Middle East,Yusuf,y/u/s/u/f,'j/ʏ/s/ə/f
Middle East,Lopez,l/o/p/e/z,l/əʊ/p/ɛ/s
Southern Europe,Akie,a/k/ie,a/kʰ/i
Middle East,Xinyi,x/i/n/yi,s/ĩ/n/i
Central and Eastern Europe,Naomi,n/a//o/m/i,n/ɛ/'j/ɔ/m/i
Asia,Mauro,m/au/r/o,'m/ɒ/r/əʊ
Middle East,Sadaf,s/a/d/a/f,s/ə/'d/ɑ/f
Southern Europe,Yusuf,y/u/s/u/f,'j/ʏ/s/ə/f
Southern Europe,Soto,s/o/t/o,'s/əʊ/tʰ/əʊ
Middle East,Naomi,n/a//o/m/i,'n/ɛ/j/o/m/i
Southern Europe,Adal,a/d/a/l,ə/'d/ʌ/ɬ
Asia,Rana,r/a/n/a,ɹw/ʌ/ɾ/ʌ
Middle East,Lopez,l/o/p/e/z,l/ɔ/pʰ/ə/z
Middle East,Yusufu,y/u/s/u/f/u,j/u/s/ə/f/u
Asia,Lope,l/o/p/e,l/əʊ/pʰ/ɛ
Asia,Adal,a/d/a/l,ɐ/'d/ɑ/ɬ
Central and Eastern Europe,Naomi,n/a//o/m/i,n/a/j/o/m/i
Middle East,Zhang,z/h/a/ng,z//æ/ŋ
Middle East,Akie,a/k/i/e,a/k/i/e
Middle East,Xinyi,x/i/n/yi,z/ɪ̃/n/ɪ
Asia,Soto,s/o/t/o,s/əʊ/tʰ/əʊ
Middle East,Sadaf,s/a/d/a/f,s/ɐ/d/ɐ/f
Asia,Mori,m/o/r/i,m/əʊ/ɹw/i
Middle East,Sultan,s/u/l/t/a/n,s/u/ɬ/tʰ/ɐ/n
Central and Eastern Europe,Jose,j/o/s/e,x/o/s/e
Middle East,Saidi,s/ai/d/i,s/ej/d/i
Asia,Aoyama,a/o/y/a/m/a,'ej/o/j/a/m/a
Southern Europe,Singh,s/i/ng/h,s/i/ŋ/
Asia,Yuesefu,y/u/e/s/e/f/u,j/u//s/ɜ/f/u
Southern Europe,Lopez,l/o/p/e/z,l/ɔ/pʰ/e/z
Southern Europe,Jose,j/o/s/e,x/o/s/e
Asia,Anika,a/n/i/k/a,a/n/i/kʰ/a
Middle East,Soto,s/o/t/o,'s/o/t/o
Middle East,Kira,k/i/r/a,kʰ/i/ɹw/a
Asia,Zhang,z/h/ang,z//æ̃
Middle East,Yuesefu,y/u/e/s/e/f/u,'j/ʉ//s/ɯ/f/we
Middle East,Lope,l/o/p/e,l/ɔ/p/e
Central and Eastern Europe,Akie,a/k/ie,ej/k/i
Central and Eastern Europe,Rana,r/a/n/a,'r/a/n/a
Middle East,Lope,l/o/p/e,'l/o/p/e
Southern Europe,Xinyi,x/i/n/yi,s/i/n/i
Middle East,Yusufu,y/u/s/u/f/u,j/u/'s/u/f/u
Middle East,Zhang,z/h/a/ng,z//æ/ŋ
Central and Eastern Europe,Naomi,n/a/o/m/i,n/a/'o/m/i
Middle East,Soto,s/o/t/o,'ʃ/o/t/o
Asia,Mauro,m/a/u/r/o,m/a/u/ɾ/o
