anglicized,original,culture,pronunciation,is someone we know,comments
Sadaf,صدف,"Persian, Arabic",[sædæf],true,[sə'dɑf]
Adal,عدل,Arabic,[ædəɬ],true,[ə'dɑɬ]
Anika,,German,['ɑnikə],true,['ænikə]
Jose,José,"Spanish, Portuguese","[xoˈse], [ʒuˈzɛ]",,
Akie,あきえ,Japanese,/a.ki.e/,true,hiatus
Rana,رعنا,Iranian,[ɾaʔ.nɑː],true,"vowel, glottal stop omission"
Lope,Lope,Spanish,,,
Kira,Кира,Russian,[ˈkʲirə],true,<きら>
Naomi,なおみ,Japanese,/na.o.mi/,,Confusion against the Western Naomi
Naomi,נעם,Hebrew,<na'ám>,,
Xinyi,"信宜/鑫宜, etc.",Chinese,,true,syllable boundary
Lopez,López,Spanish,/ˈloʊ.pɛz/,,"vowel, accent"
Soto,,Serbo-Croatian/Spanish,,,
Singh,सिंघ,Indian,[sɪ̃ŋɡʱ],,
Saidi,سيد,Arabic,/saj.jid/,,
Rudiger,Rüdiger,German,,,
Aoyama,青山,Japanese,/a.o.ja.ma/,,hiatus
Mori,森,Japanese,/mo.ɹi/,,
Mauro,,Italian,/ˈmaw.ro/,,
Zhang,张,Chinese,[tʂaŋ˥],,
Zebu,,Ethiopian,,,
Yusuf,يوسف,Arabic,/jusuf/,,
Yusufu,玉素甫,Sinicized Arabic,/jy.su.fu/,,
Yuesefu,约瑟夫,Sinicized Hebrew,/jʸɜ.sɤ.fu/,,
Sultan,سلطان,"Arabic, Persian, Turkic",,,
